,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,FC Köln,34,19,11,4,53,20,68,18
1,2,SC Paderborn 07,34,18,8,8,63,48,62,18
2,3,SpVgg Greuther Fürth,34,17,9,8,64,38,60,18
3,4,Kaiserslautern,34,15,9,10,55,39,54,18
4,5,Karlsruher SC,34,12,14,8,47,34,50,18
5,6,Fortuna Düsseldorf,34,13,11,10,45,44,50,18
6,7,TSV 1860 München,34,13,9,12,38,41,48,18
7,8,FC St. Pauli,34,13,9,12,44,49,48,18
8,9,1. FC Union Berlin,34,11,11,12,48,47,44,18
9,10,FC Ingolstadt 04,34,11,11,12,34,33,44,18
10,11,VfR Aalen,34,11,11,12,36,39,44,18
11,12,SV Sandhausen,34,12,8,14,29,35,44,18
12,13,FSV Frankfurt,34,11,8,15,46,51,41,18
13,14,Erzgebirge Aue,34,11,8,15,42,54,41,18
14,15,VfL Bochum,34,11,7,16,30,43,40,18
15,16,Arminia Bielefeld,34,9,8,17,40,58,35,18
16,17,Dynamo Dresden,34,5,17,12,36,53,32,18
17,18,Energie Cottbus,34,6,7,21,35,59,25,18
