,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Palmeiras,38,24,7,7,71,28,79,20
1,2,Chapecoense,38,20,12,6,60,31,72,20
2,3,Sport,38,20,3,15,64,56,63,20
3,4,Figueirense,38,18,6,14,63,52,60,20
4,5,Icasa,38,18,5,15,50,54,59,20
5,6,Joinville,38,17,8,13,58,44,59,20
6,7,Ceará,38,16,11,11,60,50,59,20
7,8,Paraná,38,16,9,13,55,39,57,20
8,9,América Mineiro,38,14,15,9,51,42,57,20
9,10,Avaí,38,16,8,14,49,46,56,20
10,11,Boa Esporte,38,13,11,14,33,46,50,20
11,12,Bragantino,38,13,8,17,37,43,47,20
12,13,América-RN,38,11,14,13,48,56,47,20
13,14,ABC,38,13,7,18,45,58,46,20
14,15,Oeste,38,11,13,14,44,58,46,20
15,16,Atlético Goianiense,38,12,8,18,42,51,44,20
16,17,Guaratinguetá,38,11,8,19,42,54,41,20
17,18,Paysandu,38,10,10,18,40,56,40,20
18,19,São Caetano,38,9,9,20,45,59,36,20
19,20,ASA,38,11,2,25,41,75,35,20
