,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Werder Bremen ,34,22,8,4,79,38,74,18
1,2,Bayern München ,34,20,8,6,70,39,68,18
2,3,Bayer Leverkusen ,34,19,8,7,73,39,65,18
3,4,Stuttgart,34,18,10,6,52,24,64,18
4,5,VfL Bochum,34,15,11,8,57,39,56,18
5,6,Borussia Dortmund ,34,16,7,11,59,48,55,18
6,7,Schalke 04,34,13,11,10,49,42,50,18
7,8,Hamburger SV ,34,14,7,13,47,60,49,18
8,9,Hansa Rostock ,34,12,8,14,55,54,44,18
9,10,Wolfsburg,34,13,3,18,56,61,42,18
10,11,Borussia M´gladbach,34,10,9,15,40,49,39,18
11,12,Hertha BSC ,34,9,12,13,42,59,39,18
12,13,Kaiserslautern ,34,11,6,17,39,62,39,18
13,14,SC Freiburg ,34,10,8,16,42,67,38,18
14,15,Hannover 96 ,34,9,10,15,49,63,37,18
15,16,TSV 1860 München ,34,8,8,18,32,55,32,18
16,17,Eintracht Frankfurt ,34,9,5,20,36,53,32,18
17,18,FC Köln,34,6,5,23,32,57,23,18
