,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,PSV,34,26,6,2,87,20,84,18
1,2,Ajax,34,26,5,3,96,32,83,18
2,3,Feyenoord,34,25,5,4,89,39,80,18
3,4,NAC Breda,34,13,13,8,42,31,52,18
4,5,NEC,34,14,9,11,41,40,51,18
5,6,Roda,34,14,8,12,58,54,50,18
6,7,Heerenveen,34,13,8,13,61,55,47,18
7,8,FC Utrecht,34,12,11,11,49,49,47,18
8,9,RKC Waalwijk,34,14,4,16,44,51,46,18
9,10,AZ Alkmaar,34,12,8,14,50,69,44,18
10,11,Willem II,34,11,9,14,48,51,42,18
11,12,FC Twente,34,10,11,13,36,45,41,18
12,13,Roosendaal,34,10,6,18,33,54,36,18
13,14,Vitesse,34,8,9,17,37,51,33,18
14,15,FC Groningen,34,7,11,16,28,44,32,18
15,16,Zwolle,34,8,8,18,31,62,32,18
16,17,Excelsior,34,5,8,21,38,72,23,18
17,18,De Graafschap,34,6,5,23,35,84,23,18
