,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Leicester City,46.0,27.0,15.0,4.0,84.0,39.0,96.0,24
1,2,Peterborough United,46.0,26.0,11.0,9.0,78.0,54.0,89.0,24
2,3,MK Dons ,46.0,26.0,9.0,11.0,83.0,47.0,87.0,24
3,4,Leeds United ,46.0,26.0,6.0,14.0,77.0,49.0,84.0,24
4,5,Millwall ,46.0,25.0,7.0,14.0,63.0,53.0,82.0,24
5,6,Scunthorpe United,46.0,22.0,10.0,14.0,82.0,63.0,76.0,24
6,7,Tranmere Rovers ,46.0,21.0,11.0,14.0,62.0,49.0,74.0,24
7,8,Southend United,46.0,21.0,8.0,17.0,58.0,61.0,71.0,24
8,9,Huddersfield Town ,46.0,18.0,14.0,14.0,62.0,65.0,68.0,24
9,10,Oldham Athletic ,46.0,16.0,17.0,13.0,66.0,65.0,65.0,24
10,11,Colchester ,46.0,18.0,9.0,19.0,58.0,58.0,63.0,24
11,12,Bristol Rovers ,45.0,17.0,11.0,17.0,78.0,60.0,62.0,24
12,13,Walsall ,46.0,17.0,10.0,19.0,61.0,66.0,61.0,24
13,14,Stockport County ,46.0,16.0,12.0,18.0,59.0,57.0,60.0,24
14,15,Leyton Orient ,46.0,15.0,11.0,20.0,45.0,57.0,56.0,24
15,16,Swindon Town ,46.0,12.0,17.0,17.0,68.0,71.0,53.0,24
16,17,Brighton & Hove Albion ,46.0,13.0,13.0,20.0,55.0,70.0,52.0,24
17,18,Yeovil Town ,46.0,12.0,15.0,19.0,41.0,66.0,51.0,24
18,19,Hartlepool United,46.0,13.0,11.0,22.0,66.0,79.0,50.0,24
19,20,Carlisle United,46.0,12.0,14.0,20.0,56.0,69.0,50.0,24
20,21,Northampton Town,46.0,12.0,13.0,21.0,61.0,65.0,49.0,24
21,22,Crewe Alexandra ,45.0,12.0,9.0,24.0,58.0,81.0,45.0,24
22,23,Cheltenham Town,46.0,9.0,12.0,25.0,51.0,91.0,39.0,24
23,24,Hereford ,46.0,9.0,7.0,30.0,42.0,79.0,34.0,24
