,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Accrington Stanley,46.0,29.0,6.0,11.0,76.0,46.0,93.0,24
1,2,Luton Town,46.0,25.0,13.0,8.0,94.0,46.0,88.0,24
2,3,Wycombe Wanderers,46.0,24.0,12.0,10.0,79.0,60.0,84.0,24
3,4,Exeter City,46.0,24.0,8.0,14.0,64.0,54.0,80.0,24
4,5,Notts County,46.0,21.0,14.0,11.0,71.0,48.0,77.0,24
5,6,Coventry City,46.0,22.0,9.0,15.0,64.0,47.0,75.0,24
6,7,Lincoln City,46.0,20.0,15.0,11.0,64.0,48.0,75.0,24
7,8,Mansfield Town,46.0,18.0,18.0,10.0,67.0,52.0,72.0,24
8,9,Swindon Town,46.0,20.0,8.0,18.0,67.0,65.0,68.0,24
9,10,Carlisle United,46.0,17.0,16.0,13.0,62.0,54.0,67.0,24
10,11,Newport County,46.0,16.0,16.0,14.0,56.0,58.0,64.0,24
11,12,Cambridge United,46.0,17.0,13.0,16.0,56.0,60.0,64.0,24
12,13,Colchester,46.0,16.0,14.0,16.0,53.0,52.0,62.0,24
13,14,Crawley Town,46.0,16.0,11.0,19.0,58.0,66.0,59.0,24
14,15,Crewe Alexandra,46.0,17.0,5.0,24.0,62.0,75.0,56.0,24
15,16,Stevenage,46.0,14.0,13.0,19.0,60.0,65.0,55.0,24
16,17,Cheltenham Town,46.0,13.0,12.0,21.0,67.0,73.0,51.0,24
17,18,Grimsby Town,46.0,13.0,12.0,21.0,42.0,66.0,51.0,24
18,19,Yeovil Town,46.0,12.0,12.0,22.0,59.0,75.0,48.0,24
19,20,Port Vale,46.0,11.0,14.0,21.0,49.0,67.0,47.0,24
20,21,Forest Green Rovers,46.0,13.0,8.0,25.0,54.0,77.0,47.0,24
21,22,Morecambe,46.0,9.0,19.0,18.0,41.0,56.0,46.0,24
22,23,Barnet,46.0,12.0,10.0,24.0,46.0,65.0,46.0,24
23,24,Chesterfield,46.0,10.0,8.0,28.0,47.0,83.0,38.0,24
