,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Valencia ,38,23,8,7,71,27,77,20
1,2,Barcelona,38,21,9,8,63,39,72,20
2,3,Deportivo ,38,21,8,9,60,34,71,20
3,4,Real Madrid ,38,21,7,10,72,54,70,20
4,5,Athletic ,38,15,11,12,53,49,56,20
5,6,Sevilla ,38,15,10,13,56,45,55,20
6,7,Atlético Madrid,38,15,10,13,51,53,55,20
7,8,Villarreal ,38,15,9,14,47,49,54,20
8,9,Real Betis ,38,13,13,12,46,43,52,20
9,10,Málaga ,38,15,6,17,50,55,51,20
10,11,Mallorca ,38,15,6,17,54,66,51,20
11,12,Real Zaragoza,38,13,9,16,46,55,48,20
12,13,Osasuna ,38,11,15,12,38,37,48,20
13,14,Albacete,38,13,8,17,40,48,47,20
14,15,Real Sociedad ,38,11,13,14,49,53,46,20
15,16,Espanyol ,38,13,4,21,48,64,43,20
16,17,Racing Santander ,38,11,10,17,48,63,42,20
17,18,Valladolid ,38,10,11,17,46,56,41,20
18,19,Celta de Vigo ,38,9,12,17,48,68,39,20
19,20,Real Murcia ,38,5,11,22,29,57,26,20
