,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Chelsea,38,26,9,3,73,32,87,20
1,2,Manchester City,38,24,7,7,83,38,79,20
2,3,Arsenal,38,22,9,7,71,36,75,20
3,4,Manchester United,38,20,10,8,62,37,70,20
4,5,Tottenham,38,19,7,12,58,53,64,20
5,6,Liverpool,38,18,8,12,52,48,62,20
6,7,Southampton,38,18,6,14,54,33,60,20
7,8,Swansea City,38,16,8,14,46,49,56,20
8,9,Stoke City,38,15,9,14,48,45,54,20
9,10,Crystal Palace,38,13,9,16,47,51,48,20
10,11,Everton,38,12,11,15,48,50,47,20
11,12,West Ham,38,12,11,15,44,47,47,20
12,13,West Bromwich,38,11,11,16,38,51,44,20
13,14,Leicester City,38,11,8,19,46,55,41,20
14,15,Newcastle,38,10,9,19,40,63,39,20
15,16,Sunderland,38,7,17,14,31,53,38,20
16,17,Aston Villa,38,10,8,20,31,57,38,20
17,18,Hull City,38,8,11,19,33,51,35,20
18,19,Burnley,38,7,12,19,28,53,33,20
19,20,QPR,38,8,6,24,42,73,30,20
