,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Internazionale,38,23,7,8,68,30,76,20
1,2,Roma ,38,19,12,7,70,42,69,20
2,3,Milan,38,28,4,6,85,31,58,20
3,4,Chievo ,38,13,15,10,54,49,54,20
4,5,Palermo ,38,13,13,12,50,52,52,20
5,6,Livorno ,38,12,13,13,37,44,49,20
6,7,Parma ,38,12,9,17,46,60,45,20
7,8,Empoli ,38,13,6,19,47,61,45,20
8,9,Fiorentina ,38,22,8,8,66,41,44,20
9,10,Ascoli ,38,9,16,13,43,53,43,20
10,11,Udinese ,38,11,10,17,40,54,43,20
11,12,Reggina ,38,11,8,19,39,65,41,20
12,13,Sampdoria,38,10,11,17,47,51,41,20
13,14,Cagliari ,38,8,15,15,42,55,39,20
14,15,AC Siena,38,9,12,17,42,60,39,20
15,16,Lazio ,38,16,14,8,57,47,32,20
16,17,F.C. Messina Peloro ,38,6,13,19,33,59,31,20
17,18,Lecce ,38,7,8,23,30,57,29,20
18,19,Treviso ,38,3,12,23,24,56,21,20
19,20,Juventus ,38,27,10,1,71,24,0,20
