,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Benfica,30,24,4,2,78,20,76,16
1,2,SC Braga,30,22,5,3,48,20,71,16
2,3,FC Porto,30,21,5,4,70,26,68,16
3,4,Sporting,30,13,9,8,42,26,48,16
4,5,Marítimo,30,11,8,11,42,43,41,16
5,6,Vitória SC,30,11,8,11,31,34,41,16
6,7,Nacional,30,10,9,11,36,46,39,16
7,8,Naval,30,10,6,14,20,35,36,16
8,9,UD Leiria,30,9,8,13,35,41,35,16
9,10,Paços de Ferreira,30,8,11,11,32,37,35,16
10,11,Académica OAF,30,8,9,13,37,42,33,16
11,12,Rio Ave,30,6,13,11,22,33,31,16
12,13,Olhanense,30,5,14,11,31,46,29,16
13,14,Vitória FC,30,5,10,15,29,57,25,16
14,15,Belenenses,30,4,11,15,23,44,23,16
15,16,Leixões,30,5,6,19,25,51,21,16
