,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Paços de Ferreira,34,19,8,7,56,31,65,18
1,2,Beira-Mar,34,18,11,5,54,30,65,18
2,3,CD Aves,34,18,7,9,33,24,61,18
3,4,Varzim,34,17,9,8,53,33,60,18
4,5,Académica OAF,34,16,9,9,55,37,57,18
5,6,FC Penafiel,34,14,14,6,52,33,56,18
6,7,FC Felgueiras,34,14,9,11,42,36,51,18
7,8,U. Lamas,34,14,4,16,39,50,46,18
8,9,Freamunde,34,11,12,11,42,37,45,18
9,10,SC Espinho,34,13,6,15,51,48,45,18
10,11,Leça FC,34,13,6,15,41,49,45,18
11,12,GD Chaves,34,11,11,12,46,45,44,18
12,13,Naval,34,11,9,14,53,55,42,18
13,14,Maia,34,11,9,14,35,44,42,18
14,15,Imortal DC,34,8,9,17,43,64,33,18
15,16,Moreirense,34,6,11,17,29,49,29,18
16,17,Esposende,34,8,4,22,31,65,28,18
17,18,SC Covilhã,34,5,10,19,23,48,25,18
