,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Le Havre,38,22,12,4,66,30,78,20
1,2,Nantes,38,19,13,6,58,34,70,20
2,3,Grenoble,38,17,12,9,44,30,63,20
3,4,CS Sedan,38,15,13,10,46,40,58,20
4,5,Clermont,38,14,15,9,50,41,57,20
5,6,Troyes,38,15,12,11,46,44,57,20
6,7,Brest,38,15,12,11,38,38,57,20
7,8,Montpellier,38,14,12,12,43,32,54,20
8,9,AC Ajaccio,38,14,12,12,37,41,54,20
9,10,Angers,38,13,14,11,39,35,53,20
10,11,Bastia,38,14,9,15,45,46,51,20
11,12,Guingamp,38,11,15,12,41,37,48,20
12,13,Stade de Reims,38,12,10,16,44,52,46,20
13,14,Amiens SC,38,11,12,15,49,51,45,20
14,15,Châteauroux,38,11,12,15,34,42,45,20
15,16,US Boulogne,38,12,7,19,37,54,43,20
16,17,Dijon,38,9,15,14,32,51,42,20
17,18,Chamois Niortais,38,11,8,19,38,48,41,20
18,19,FC Libourne Saint-Seurin,38,7,11,20,41,62,32,20
19,20,Gueugnon,38,5,12,21,39,59,27,20
