,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Numancia ,42,22,11,9,59,38,77,22
1,2,Sporting Gijón ,42,20,12,10,61,40,72,22
2,3,Málaga ,42,20,12,10,58,42,72,22
3,4,Real Sociedad ,42,18,14,10,55,39,68,22
4,5,Castellón ,42,16,13,13,42,37,61,22
5,6,Hércules ,42,14,16,12,66,55,58,22
6,7,Salamanca ,42,13,18,11,52,44,57,22
7,8,Las Palmas ,42,15,12,15,51,55,57,22
8,9,Sevilla ,42,14,14,14,43,48,56,22
9,10,Elche ,42,14,12,16,44,50,54,22
10,11,Tenerife ,42,12,17,13,51,57,53,22
11,12,Celta de Vigo ,42,13,13,16,56,55,52,22
12,13,Nàstic ,42,12,16,14,49,51,52,22
13,14,Albacete,42,13,13,16,37,40,52,22
14,15,Xerez ,42,12,16,14,47,56,52,22
15,16,Eibar,42,14,10,18,42,51,52,22
16,17,Alavés ,42,12,15,15,41,47,51,22
17,18,Racing de Ferrol ,42,12,14,16,46,51,50,22
18,19,Córdoba ,42,11,17,14,50,56,50,22
19,20,Cádiz ,42,12,13,17,40,47,49,22
20,21,Granada 74 ,42,10,15,17,45,59,45,22
21,22,Poli Ejido ,42,11,11,20,37,54,44,22
