,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,VVV-Venlo ,38,25,5,8,86,38,80,20
1,2,RKC Waalwijk ,38,18,17,3,68,31,71,20
2,3,SC Cambuur ,38,20,9,9,68,49,69,20
3,4,Zwolle ,38,18,9,11,58,49,63,20
4,5,Excelsior ,38,16,13,9,53,43,61,20
5,6,MVV ,38,16,12,10,60,42,60,20
6,7,Go Ahead Eagles ,38,14,14,10,41,41,56,20
7,8,FC Dordrecht ,38,15,10,13,51,39,55,20
8,9,Den Bosch ,38,15,8,15,59,51,53,20
9,10,Helmond Sport ,38,14,11,13,50,48,53,20
10,11,AGOVV Apeldoorn ,38,15,8,15,61,67,53,20
11,12,Haarlem ,38,15,5,18,43,56,50,20
12,13,FC Emmen ,38,13,8,17,48,68,47,20
13,14,TOP Oss,38,11,9,18,50,63,42,20
14,15,Fortuna Sittard ,38,11,9,18,42,59,42,20
15,16,FC Eindhoven ,38,9,14,15,59,80,41,20
16,17,Roosendaal ,38,11,7,20,43,55,40,20
17,18,Veendam ,38,10,9,19,46,67,39,20
18,19,Telstar ,38,8,13,17,42,57,37,20
19,20,Almere City FC ,38,8,6,24,40,65,30,20
