,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,NAC Breda,34.0,25.0,5.0,4.0,66.0,22.0,80.0,24
1,2,FC Groningen,34.0,20.0,9.0,5.0,62.0,31.0,69.0,24
2,3,FC Utrecht,34.0,21.0,5.0,8.0,74.0,41.0,68.0,24
3,4,FC Groningen,34.0,19.0,8.0,7.0,71.0,33.0,65.0,24
4,5,NAC Breda,34.0,17.0,9.0,8.0,66.0,57.0,60.0,24
5,6,Feyenoord,34.0,17.0,5.0,12.0,53.0,36.0,56.0,24
6,7,AZ Alkmaar ,34.0,12.0,9.0,13.0,54.0,46.0,45.0,24
7,8,FC Twente ,34.0,13.0,6.0,15.0,44.0,54.0,45.0,24
8,9,Ajax ,34.0,11.0,11.0,12.0,41.0,44.0,44.0,24
9,10,PSV ,34.0,11.0,10.0,13.0,41.0,48.0,43.0,24
10,11,Heerenveen ,34.0,9.0,15.0,10.0,41.0,40.0,42.0,24
11,12,FC Groningen ,34.0,10.0,7.0,17.0,35.0,58.0,37.0,24
12,13,Feyenoord ,34.0,9.0,8.0,17.0,46.0,66.0,35.0,24
13,14,NAC Breda ,34.0,7.0,11.0,16.0,35.0,53.0,32.0,24
14,15,FC Utrecht ,34.0,8.0,8.0,18.0,41.0,58.0,32.0,24
15,16,Vitesse ,34.0,7.0,9.0,18.0,38.0,58.0,30.0,24
16,17,NEC ,34.0,7.0,9.0,18.0,24.0,58.0,30.0,24
17,18,Willem II ,34.0,7.0,8.0,19.0,38.0,67.0,29.0,24
18,19,Sparta Rotterdam ,,,,,,,,24
19,20,Heracles Almelo ,,,,,,,,24
20,21,ADO Den Haag ,,,,,,,,24
21,22,Roda ,,,,,,,,24
22,23,De Graafschap ,,,,,,,,24
23,24,FC Volendam ,,,,,,,,24
