,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Numancia,42.0,21.0,13.0,8.0,67.0,48.0,76.0,28
1,2,Valladolid,42.0,21.0,12.0,9.0,61.0,40.0,75.0,28
2,3,Numancia,42.0,20.0,11.0,11.0,57.0,44.0,71.0,28
3,4,Real Zaragoza,42.0,21.0,8.0,13.0,60.0,40.0,71.0,28
4,5,Valladolid,42.0,19.0,10.0,13.0,69.0,55.0,67.0,28
5,6,Sporting Gijón,42.0,18.0,11.0,13.0,52.0,41.0,65.0,28
6,7,Rayo Vallecano,42.0,18.0,11.0,13.0,54.0,48.0,65.0,28
7,8,Huesca,42.0,16.0,16.0,10.0,44.0,34.0,64.0,28
8,9,Real Zaragoza,42.0,16.0,16.0,10.0,42.0,29.0,64.0,28
9,10,Sporting Gijón,42.0,17.0,10.0,15.0,55.0,50.0,61.0,28
10,11,Valladolid,42.0,15.0,14.0,13.0,58.0,50.0,59.0,28
11,12,Numancia,42.0,15.0,10.0,17.0,39.0,48.0,55.0,28
12,13,Real Oviedo,42.0,12.0,16.0,14.0,37.0,42.0,52.0,28
13,14,Osasuna,42.0,12.0,16.0,14.0,31.0,42.0,52.0,28
14,15,Cádiz,42.0,15.0,7.0,20.0,44.0,50.0,52.0,28
15,16,Granada,42.0,15.0,6.0,21.0,57.0,65.0,51.0,28
16,17,Tenerife,42.0,11.0,16.0,15.0,35.0,46.0,49.0,28
17,18,Lugo,42.0,12.0,12.0,18.0,38.0,45.0,48.0,28
18,19,AD Alcorcón ,42.0,11.0,15.0,16.0,54.0,67.0,48.0,28
19,20,CF Reus,42.0,10.0,14.0,18.0,46.0,54.0,44.0,28
20,21,Nàstic,42.0,8.0,9.0,25.0,37.0,68.0,33.0,28
21,22,Córdoba,42.0,7.0,11.0,24.0,29.0,60.0,32.0,28
22,23,Albacete,,,,,,,,28
23,24,Almería,,,,,,,,28
24,25,Cultural Leonesa,,,,,,,,28
25,26,Barcelona B,,,,,,,,28
26,27,Lorca CF,,,,,,,,28
27,28,Sevilla B,,,,,,,,28
