,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,NAC Breda,38.0,25.0,5.0,8.0,75.0,35.0,80.0,32
1,2,NEC,38.0,23.0,7.0,8.0,93.0,54.0,76.0,32
2,3,MVV,38.0,22.0,5.0,11.0,78.0,42.0,71.0,32
3,4,Roda,38.0,20.0,9.0,9.0,66.0,35.0,69.0,32
4,5,FC Volendam,38.0,19.0,7.0,12.0,65.0,50.0,64.0,32
5,6,NAC Breda,38.0,17.0,11.0,10.0,63.0,44.0,62.0,32
6,7,MVV,38.0,15.0,14.0,9.0,55.0,45.0,59.0,32
7,8,SC Cambuur,38.0,17.0,8.0,13.0,74.0,66.0,59.0,32
8,9,Helmond Sport,38.0,14.0,13.0,11.0,50.0,40.0,55.0,32
9,10,Almere City FC,38.0,15.0,9.0,14.0,62.0,70.0,54.0,32
10,11,RKC Waalwijk,38.0,15.0,8.0,15.0,64.0,71.0,53.0,32
11,12,FC Emmen,38.0,15.0,5.0,18.0,70.0,63.0,50.0,32
12,13,VVV-Venlo,38.0,14.0,7.0,17.0,51.0,67.0,49.0,32
13,14,Ajax B,38.0,12.0,9.0,17.0,48.0,67.0,45.0,32
14,15,SC Cambuur,38.0,12.0,5.0,21.0,67.0,95.0,41.0,32
15,16,PSV B,38.0,10.0,10.0,18.0,46.0,64.0,40.0,32
16,17,NAC Breda,38.0,13.0,9.0,16.0,54.0,67.0,39.0,32
17,18,FC Volendam,38.0,10.0,7.0,21.0,50.0,71.0,37.0,32
18,19,MVV,38.0,5.0,9.0,24.0,42.0,72.0,24.0,32
19,20,Almere City FC,38.0,5.0,7.0,26.0,37.0,92.0,19.0,32
20,21,FC Emmen,,,,,,,,32
21,22,RKC Waalwijk,,,,,,,,32
22,23,FC Eindhoven,,,,,,,,32
23,24,De Graafschap,,,,,,,,32
24,25,Helmond Sport,,,,,,,,32
25,26,Den Bosch,,,,,,,,32
26,27,FC Oss,,,,,,,,32
27,28,Telstar,,,,,,,,32
28,29,Fortuna Sittard,,,,,,,,32
29,30,FC Utrecht B,,,,,,,,32
30,31,FC Dordrecht,,,,,,,,32
31,32,RKSV Achilles ´29,,,,,,,,32
