,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Palermo,46.0,22.0,17.0,7.0,75.0,39.0,83.0,26
1,2,Cagliari,46.0,23.0,14.0,9.0,80.0,51.0,83.0,26
2,3,Livorno,46.0,20.0,19.0,7.0,75.0,45.0,79.0,26
3,4,F.C. Messina Peloro,46.0,21.0,16.0,9.0,71.0,45.0,79.0,26
4,5,Atalanta,46.0,19.0,20.0,7.0,59.0,36.0,77.0,26
5,6,Fiorentina,46.0,19.0,16.0,11.0,53.0,48.0,73.0,26
6,7,Ternana,46.0,18.0,15.0,13.0,64.0,52.0,69.0,26
7,8,Piacenza,46.0,17.0,17.0,12.0,50.0,47.0,68.0,26
8,9,Catania,46.0,18.0,13.0,15.0,53.0,53.0,67.0,26
9,10,Triestina,46.0,15.0,19.0,12.0,50.0,50.0,64.0,26
10,11,Ascoli,46.0,14.0,18.0,14.0,54.0,54.0,60.0,26
11,12,Torino,46.0,14.0,17.0,15.0,57.0,54.0,59.0,26
12,13,Vicenza Calcio,46.0,12.0,20.0,14.0,48.0,51.0,56.0,26
13,14,Napoli,46.0,10.0,26.0,10.0,35.0,43.0,56.0,26
14,15,Treviso,46.0,12.0,19.0,15.0,48.0,51.0,55.0,26
15,16,Genoa,46.0,13.0,16.0,17.0,57.0,62.0,55.0,26
16,17,Salernitana,46.0,14.0,13.0,19.0,36.0,53.0,55.0,26
17,18,AlbinoLeffe,46.0,13.0,15.0,18.0,47.0,59.0,54.0,26
18,19,Hellas Verona,46.0,13.0,14.0,19.0,54.0,65.0,53.0,26
19,20,Venezia,46.0,12.0,15.0,19.0,40.0,57.0,51.0,26
20,21,AS Bari,46.0,13.0,11.0,22.0,50.0,63.0,50.0,26
21,22,Pescara,46.0,11.0,13.0,22.0,46.0,69.0,46.0,26
22,23,Avellino,46.0,8.0,13.0,25.0,51.0,69.0,37.0,26
23,24,Como,46.0,7.0,12.0,27.0,34.0,71.0,33.0,26
24,25,AS Bari,,,,,,,,26
25,26,Venezia,,,,,,,,26
