;rank;team_name;GP;W;D;L;GF;GA;P;team_n
0;1;Chamois Niortais;38;20;10;8;57;36;70;20
1;2;FC Libourne Saint-Seurin;38;18;13;7;47;27;67;20
2;3;Tours;38;18;11;9;49;35;65;20
3;4;Cannes;38;16;11;11;46;42;59;20
4;5;Nimes;38;16;10;12;50;39;58;20
5;6;US Boulogne;38;16;10;12;48;41;58;20
6;7;SC Toulon-Var;38;15;12;11;35;32;57;20
7;8;US Raon;38;11;17;10;42;37;50;20
8;9;Entente SSG;38;11;17;10;39;34;50;20
9;10;SO Romorantin;38;13;11;14;39;46;50;20
10;11;Angers;38;12;13;13;42;35;49;20
11;12;Vannes OC;38;11;16;11;44;45;49;20
12;13;CS Louhans Cuiseaux;38;14;6;18;42;51;48;20
13;14;AS Cherbourg;38;9;19;10;34;39;46;20
14;15;Pau FC;38;10;15;13;34;38;45;20
15;16;SO Châtellerault;38;10;12;16;37;47;42;20
16;17;Bayonne;38;10;11;17;34;41;41;20
17;18;Croix-de-Savoie 74;38;8;17;13;28;40;41;20
18;19;AS Moulins;38;11;8;19;44;61;41;20
19;20;GFC Ajaccio;38;6;11;21;27;52;29;20
