,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Red Bull Salzburg,10,8,1,1,79,27,52,24
1,2,LASK Linz,10,5,2,3,59,31,40,24
2,3,Wolfsberger AC,10,5,1,4,47,47,31,24
3,4,Austria Wien,10,3,3,4,45,48,27,24
4,5,Sturm Graz,10,3,0,7,37,40,24,24
5,6,SKN St. Pölten,10,1,3,6,32,50,21,24
6,7,Rapid Wien,10,6,1,3,48,44,32,24
7,8,Wacker Innsbruck,10,4,0,6,32,51,30,24
8,9,SCR Altach,10,5,4,1,48,44,28,24
9,10,SV Mattersburg,10,4,2,4,41,48,28,24
10,11,TSV Hartberg,10,3,0,7,48,66,22,24
11,12,Admira Wacker,10,3,3,4,42,62,22,24
12,13,Red Bull Salzburg,22,17,4,1,51,18,55,24
13,14,LASK Linz,22,13,7,2,40,19,46,24
14,15,Sturm Graz,22,7,10,5,26,23,31,24
15,16,Wolfsberger AC,22,7,9,6,32,31,30,24
16,17,Austria Wien,22,9,3,10,29,28,30,24
17,18,SKN St. Pölten,22,8,6,8,26,29,30,24
18,19,SV Mattersburg,22,8,5,9,28,36,29,24
19,20,Rapid Wien,22,7,6,9,26,29,27,24
20,21,TSV Hartberg,22,7,5,10,35,45,26,24
21,22,Admira Wacker,22,5,6,11,26,42,21,24
22,23,SCR Altach,22,4,6,12,30,32,18,24
23,24,Wacker Innsbruck,22,4,5,13,17,34,17,24
