,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,SC Freiburg,34,22,6,6,75,39,72,18
1,2,RB Leipzig,34,20,7,7,54,32,67,18
2,3,FC Nürnberg,34,19,8,7,68,41,65,18
3,4,FC St. Pauli,34,15,8,11,45,39,53,18
4,5,VfL Bochum,34,13,12,9,56,40,51,18
5,6,1. FC Union Berlin,34,13,10,11,56,50,49,18
6,7,Karlsruher SC,34,12,11,11,35,37,47,18
7,8,Eintracht Braunschweig,34,12,10,12,44,38,46,18
8,9,SpVgg Greuther Fürth,34,13,7,14,49,55,46,18
9,10,Kaiserslautern,34,12,9,13,49,47,45,18
10,11,1. FC Heidenheim 1846,34,11,12,11,42,40,45,18
11,12,Arminia Bielefeld,34,8,18,8,38,39,42,18
12,13,SV Sandhausen,34,12,7,15,40,50,40,18
13,14,Fortuna Düsseldorf,34,9,8,17,32,47,35,18
14,15,TSV 1860 München,34,8,10,16,32,46,34,18
15,16,MSV Duisburg,34,7,11,16,32,54,32,18
16,17,FSV Frankfurt,34,8,8,18,33,59,32,18
17,18,SC Paderborn 07,34,6,10,18,28,55,28,18
