,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Joinville,38,21,7,10,54,33,70,20
1,2,Ponte Preta,38,19,12,7,61,38,69,20
2,3,Vasco,38,16,15,7,50,36,63,20
3,4,Avaí,38,18,8,12,47,40,62,20
4,5,América Mineiro,38,20,7,11,59,39,61,20
5,6,Boa Esporte,38,18,5,15,51,48,59,20
6,7,Atlético Goianiense,38,17,8,13,54,49,59,20
7,8,Ceará,38,16,9,13,58,53,57,20
8,9,Santa Cruz,38,14,13,11,51,38,55,20
9,10,Sampaio Corrêa,38,13,14,11,54,46,53,20
10,11,Paraná,38,13,12,13,45,43,51,20
11,12,Luverdense,38,15,5,18,40,46,50,20
12,13,Náutico,38,14,8,16,40,47,50,20
13,14,ABC,38,14,6,18,34,40,48,20
14,15,Oeste,38,12,12,14,39,48,48,20
15,16,Bragantino,38,13,7,18,45,55,46,20
16,17,América-RN,38,12,7,19,44,53,43,20
17,18,Icasa,38,11,10,17,34,43,43,20
18,19,Vila Nova,38,10,2,26,35,70,32,20
19,20,Portuguesa,38,4,13,21,29,59,25,20
