,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Bayern München,34,28,4,2,80,17,88,18
1,2,Borussia Dortmund,34,24,6,4,82,34,78,18
2,3,Bayer Leverkusen,34,18,6,10,56,40,60,18
3,4,Borussia M´gladbach,34,17,4,13,67,50,55,18
4,5,Schalke 04,34,15,7,12,51,49,52,18
5,6,Mainz,34,14,8,12,46,42,50,18
6,7,Hertha BSC,34,14,8,12,42,42,50,18
7,8,Wolfsburg,34,12,9,13,47,49,45,18
8,9,FC Köln,34,10,13,11,38,42,43,18
9,10,Hamburger SV,34,11,8,15,40,46,41,18
10,11,FC Ingolstadt 04,34,10,10,14,33,42,40,18
11,12,FC Augsburg,34,9,11,14,42,52,38,18
12,13,Werder Bremen,34,10,8,16,50,65,38,18
13,14,Darmstadt 98,34,9,11,14,38,53,38,18
14,15,TSG Hoffenheim,34,9,10,15,39,54,37,18
15,16,Eintracht Frankfurt,34,9,9,16,34,52,36,18
16,17,Stuttgart,34,9,6,19,50,75,33,18
17,18,Hannover 96,34,7,4,23,31,62,25,18
