,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,ADO Den Haag,34,22,7,5,72,30,73,24
1,2,FC Groningen,34,21,8,5,65,34,71,24
2,3,Heracles Almelo,34,20,9,5,79,34,69,24
3,4,FC Groningen,34,17,8,9,55,44,59,24
4,5,ADO Den Haag,34,17,6,11,65,52,57,24
5,6,Roda,34,14,13,7,65,50,55,24
6,7,Ajax,34,16,6,12,63,55,54,24
7,8,FC Twente,34,14,7,13,65,56,49,24
8,9,PSV,34,13,8,13,55,51,47,24
9,10,AZ Alkmaar,34,12,8,14,53,54,44,24
10,11,FC Groningen,34,10,13,11,57,56,43,24
11,12,Roda,34,10,11,13,60,54,41,24
12,13,ADO Den Haag,34,12,5,17,44,60,40,24
13,14,Heracles Almelo,34,9,11,14,31,56,38,24
14,15,FC Utrecht,34,9,8,17,42,61,35,24
15,16,Feyenoord,34,10,5,19,45,66,35,24
16,17,NEC,34,6,3,25,34,76,21,24
17,18,Heerenveen,34,3,6,25,37,98,15,24
18,19,NAC Breda,,,,,,,,24
19,20,De Graafschap,,,,,,,,24
20,21,Vitesse,,,,,,,,24
21,22,Excelsior,,,,,,,,24
22,23,VVV-Venlo,,,,,,,,24
23,24,Willem II,,,,,,,,24
