,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Wigan Athletic,46,28,11,7,74,37,95,30
1,2,Gillingham,46,25,13,8,69,47,88,30
2,3,Stoke City,46,25,10,11,79,48,85,30
3,4,Gillingham,46,22,17,7,72,38,83,30
4,5,Millwall,46,23,13,10,76,50,82,30
5,6,Wigan Athletic,46,23,13,10,68,42,82,30
6,7,Preston North End,46,23,11,12,69,45,80,30
7,8,Burnley,46,18,11,17,61,55,65,30
8,9,Gillingham,46,15,19,12,59,57,64,30
9,10,Wigan Athletic,46,16,14,16,57,63,62,30
10,11,Millwall,46,17,11,18,52,61,62,30
11,12,Stoke City,46,16,13,17,56,53,61,30
12,13,Bristol Rovers,46,17,10,19,61,65,61,30
13,14,Notts County,46,16,12,18,50,55,60,30
14,15,Bristol City,46,13,18,15,61,64,57,30
15,16,Reading,46,16,9,21,59,62,57,30
16,17,Wrexham,46,13,13,20,47,61,52,30
17,18,Wycombe Wanderers,46,14,10,22,59,82,52,30
18,19,Luton Town,46,12,12,22,64,65,48,30
19,20,Oldham Athletic,46,12,9,25,43,73,45,30
20,21,Bury,46,9,17,20,45,67,44,30
21,22,AFC Bournemouth,46,8,17,21,49,77,41,30
22,23,Brentford,46,9,12,25,40,74,39,30
23,24,Colchester,46,7,15,24,34,63,36,30
24,25,Cambridge United,,,,,,,,30
25,26,Oxford United,,,,,,,,30
26,27,Cardiff City,,,,,,,,30
27,28,Blackpool,,,,,,,,30
28,29,Scunthorpe United,,,,,,,,30
29,30,Chesterfield,,,,,,,,30
