,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Coventry City,46,29,6,11,76,46,93,30
1,2,Exeter City,46,25,13,8,94,46,88,30
2,3,Lincoln City,46,24,12,10,79,60,84,30
3,4,Exeter City,46,24,8,14,64,54,80,30
4,5,Coventry City,46,21,14,11,71,48,77,30
5,6,Notts County,46,22,9,15,64,47,75,30
6,7,Accrington Stanley,46,20,15,11,64,48,75,30
7,8,Luton Town,46,18,18,10,67,52,72,30
8,9,Wycombe Wanderers,46,20,8,18,67,65,68,30
9,10,Exeter City,46,17,16,13,62,54,67,30
10,11,Notts County,46,16,16,14,56,58,64,30
11,12,Coventry City,46,17,13,16,56,60,64,30
12,13,Lincoln City,46,16,14,16,53,52,62,30
13,14,Mansfield Town,46,16,11,19,58,66,59,30
14,15,Swindon Town,46,17,5,24,62,75,56,30
15,16,Carlisle United,46,14,13,19,60,65,55,30
16,17,Newport County,46,13,12,21,67,73,51,30
17,18,Cambridge United,46,13,12,21,42,66,51,30
18,19,Colchester,46,12,12,22,59,75,48,30
19,20,Crawley Town,46,11,14,21,49,67,47,30
20,21,Crewe Alexandra,46,13,8,25,54,77,47,30
21,22,Stevenage,46,9,19,18,41,56,46,30
22,23,Cheltenham Town,46,12,10,24,46,65,46,30
23,24,Grimsby Town,46,10,8,28,47,83,38,30
24,25,Yeovil Town,,,,,,,,30
25,26,Port Vale,,,,,,,,30
26,27,Forest Green Rovers,,,,,,,,30
27,28,Morecambe,,,,,,,,30
28,29,Barnet,,,,,,,,30
29,30,Chesterfield,,,,,,,,30
