,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Juventus,38,30,5,3,86,24,95,20
1,2,Napoli,38,28,7,3,77,29,91,20
2,3,Roma,38,23,8,7,61,28,77,20
3,4,Internazionale,38,20,12,6,66,30,72,20
4,5,Lazio,38,21,9,8,89,49,72,20
5,6,Milan,38,18,10,10,56,42,64,20
6,7,Atalanta,38,16,12,10,57,39,60,20
7,8,Fiorentina,38,16,9,13,54,46,57,20
8,9,Torino,38,13,15,10,54,46,54,20
9,10,Sampdoria,38,16,6,16,56,60,54,20
10,11,Sassuolo,38,11,10,17,29,59,43,20
11,12,Genoa,38,11,8,19,33,43,41,20
12,13,Chievo,38,10,10,18,36,59,40,20
13,14,Udinese,38,12,4,22,48,63,40,20
14,15,Bologna,38,11,6,21,40,52,39,20
15,16,Cagliari,38,11,6,21,33,61,39,20
16,17,SPAL 2013,38,8,14,16,39,59,38,20
17,18,Crotone,38,9,8,21,40,66,35,20
18,19,Hellas Verona,38,7,4,27,30,78,25,20
19,20,Benevento,38,6,3,29,33,84,21,20
