,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Benfica,34,27,4,3,86,16,85,18
1,2,FC Porto,34,25,7,2,74,13,82,18
2,3,Sporting,34,22,10,2,67,29,76,18
3,4,SC Braga,34,17,7,10,55,28,58,18
4,5,Vitória SC,34,15,10,9,50,35,55,18
5,6,Belenenses,34,12,12,10,34,35,48,18
6,7,Nacional,34,13,8,13,45,46,47,18
7,8,Paços de Ferreira,34,12,11,11,40,45,47,18
8,9,Marítimo,34,12,8,14,46,45,44,18
9,10,Rio Ave,34,10,13,11,38,42,43,18
10,11,Moreirense,34,11,10,13,33,42,43,18
11,12,Estoril Praia,34,9,13,12,38,56,40,18
12,13,Boavista,34,9,7,18,27,50,34,18
13,14,Vitória FC,34,7,8,19,24,56,29,18
14,15,Académica OAF,34,4,17,13,26,46,29,18
15,16,FC Arouca,34,7,7,20,26,50,28,18
16,17,Gil Vicente,34,4,11,19,25,60,23,18
17,18,FC Penafiel,34,5,7,22,29,69,22,18
