,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Santa Clara,34,20,7,7,60,37,67,18
1,2,Vitória FC,34,19,7,8,64,41,64,18
2,3,Varzim,34,19,7,8,53,34,64,18
3,4,Maia,34,19,7,8,58,41,64,18
4,5,FC Penafiel,34,17,7,10,45,31,58,18
5,6,Rio Ave,34,16,9,9,66,36,57,18
6,7,Nacional,34,14,9,11,55,52,51,18
7,8,Naval,34,14,6,14,49,45,48,18
8,9,Académica OAF,34,14,6,14,51,48,48,18
9,10,GD Chaves,34,9,14,11,38,44,41,18
10,11,Ovarense,34,12,5,17,42,53,41,18
11,12,U. Lamas,34,11,8,15,43,56,41,18
12,13,Leça FC,34,11,6,17,34,57,39,18
13,14,SC Espinho,34,9,11,14,39,41,38,18
14,15,FC Marco,34,10,6,18,40,64,36,18
15,16,FC Felgueiras,34,8,10,16,40,50,34,18
16,17,Imortal DC,34,7,12,15,33,44,33,18
17,18,Freamunde,34,6,5,23,28,64,23,18
