,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Valenciennes,38,21,11,6,51,28,74,20
1,2,CS Sedan,38,19,14,5,50,32,71,20
2,3,Lorient,38,18,12,8,49,26,66,20
3,4,Caen,38,18,12,8,56,35,66,20
4,5,Dijon,38,16,12,10,47,32,60,20
5,6,Bastia,38,16,10,12,47,40,58,20
6,7,Le Havre,38,13,16,9,48,41,55,20
7,8,Créteil-Lusitanos,38,13,15,10,46,33,54,20
8,9,Guingamp,38,12,14,12,36,32,50,20
9,10,Grenoble,38,12,12,14,42,45,48,20
10,11,Gueugnon,38,11,15,12,29,37,48,20
11,12,Montpellier,38,12,11,15,34,43,47,20
12,13,FC Istres,38,12,11,15,33,45,47,20
13,14,Stade de Reims,38,10,15,13,32,31,45,20
14,15,Châteauroux,38,10,14,14,48,48,44,20
15,16,Amiens SC,38,9,16,13,32,44,43,20
16,17,Brest,38,9,15,14,34,48,42,20
17,18,Clermont,38,10,8,20,35,59,38,20
18,19,Laval,38,9,8,21,38,59,35,20
19,20,FC Sète 34,38,4,11,23,31,60,23,20
