,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Real Murcia,42,23,10,9,59,22,79,22
1,2,Real Zaragoza,42,20,12,10,54,40,72,22
2,3,Albacete,42,17,20,5,51,30,71,22
3,4,Levante,42,16,17,9,59,44,65,22
4,5,Las Palmas,42,16,16,10,53,43,64,22
5,6,Xerez,42,17,13,12,55,53,64,22
6,7,Salamanca,42,14,19,9,43,29,61,22
7,8,Tenerife,42,13,18,11,53,39,57,22
8,9,SD Compostela,42,14,13,15,54,56,55,22
9,10,Sporting Gijón,42,11,20,11,44,41,53,22
10,11,Getafe,42,13,14,15,52,55,53,22
11,12,Numancia,42,12,16,14,48,52,52,22
12,13,Terrassa,42,11,19,12,41,46,52,22
13,14,Poli Ejido,42,12,16,14,36,45,52,22
14,15,Córdoba,42,12,14,16,36,38,50,22
15,16,Eibar,42,11,17,14,33,38,50,22
16,17,Almería,42,12,14,16,54,63,50,22
17,18,Elche,42,11,15,16,46,51,48,22
18,19,Leganés,42,11,15,16,44,51,48,22
19,20,Racing de Ferrol,42,11,13,18,40,60,46,22
20,21,Real Oviedo,42,9,13,20,37,59,40,22
21,22,Badajoz,42,10,8,24,34,71,38,22
