,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,NAC Breda,36,24,7,5,83,40,79,35
1,2,Willem II,36,23,6,7,85,39,75,35
2,3,Go Ahead Eagles,36,20,7,9,84,42,67,35
3,4,De Graafschap,36,19,6,11,55,44,63,35
4,5,Go Ahead Eagles,36,18,7,11,61,41,61,35
5,6,VVV-Venlo,36,14,10,12,54,40,52,35
6,7,FC Eindhoven,36,15,6,15,58,57,51,35
7,8,NAC Breda,36,14,8,14,68,66,50,35
8,9,Almere City FC,36,13,11,12,59,57,50,35
9,10,Willem II,36,14,8,14,52,60,50,35
10,11,MVV,36,13,9,14,51,71,48,35
11,12,De Graafschap,36,12,8,16,57,64,44,35
12,13,MVV,36,11,9,16,52,59,42,35
13,14,FC Volendam,36,11,7,18,47,67,40,35
14,15,Almere City FC,36,10,9,17,43,61,39,35
15,16,FC Emmen,36,11,6,19,41,74,39,35
16,17,Sparta Rotterdam,36,9,11,16,47,53,38,35
17,18,VVV-Venlo,36,7,11,18,41,66,32,35
18,19,NAC Breda,36,7,8,21,43,80,29,35
19,20,FC Eindhoven,,,,,,,,35
20,21,Go Ahead Eagles,,,,,,,,35
21,22,FC Volendam,,,,,,,,35
22,23,FC Emmen,,,,,,,,35
23,24,Almere City FC,,,,,,,,35
24,25,Ajax B,,,,,,,,35
25,26,MVV,,,,,,,,35
26,27,PSV B,,,,,,,,35
27,28,Telstar,,,,,,,,35
28,29,Helmond Sport,,,,,,,,35
29,30,FC Dordrecht,,,,,,,,35
30,31,RKSV Achilles ´29,,,,,,,,35
31,32,Fortuna Sittard,,,,,,,,35
32,33,Den Bosch,,,,,,,,35
33,34,RKC Waalwijk,,,,,,,,35
34,35,FC Oss,,,,,,,,35
