,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Perugia,42,19,17,6,58,36,74,30
1,2,Torino,42,21,11,10,56,34,74,30
2,3,Treviso,42,21,11,10,49,31,74,30
3,4,Perugia,42,18,10,14,58,48,64,30
4,5,Ascoli,42,16,14,12,47,37,62,30
5,6,Torino,42,17,11,14,51,52,62,30
6,7,Triestina,42,15,16,11,60,47,61,30
7,8,Vicenza Calcio,42,14,15,13,51,54,57,30
8,9,Empoli,42,13,17,12,41,37,56,30
9,10,Perugia,42,16,8,18,44,46,56,30
10,11,Torino,42,14,13,15,55,51,55,30
11,12,Treviso,42,13,16,13,42,44,55,30
12,13,Modena,42,13,14,15,48,45,53,30
13,14,Ascoli,42,12,15,15,51,52,51,30
14,15,Hellas Verona,42,12,15,15,50,57,51,30
15,16,Ternana,42,12,14,16,47,61,50,30
16,17,AS Bari,42,12,13,17,59,67,49,30
17,18,Piacenza,42,12,12,18,43,54,48,30
18,19,AlbinoLeffe,42,10,16,16,43,61,46,30
19,20,Catania,42,7,14,21,33,58,35,30
20,21,Crotone,42,5,11,26,40,82,26,30
21,22,Calcio Arezzo,42,19,19,4,72,44,0,30
22,23,Salernitana,,,,,,,,30
23,24,AC Cesena,,,,,,,,30
24,25,Vicenza Calcio,,,,,,,,30
25,26,Triestina,,,,,,,,30
26,27,Pescara,,,,,,,,30
27,28,Venezia,,,,,,,,30
28,29,Catanzaro,,,,,,,,30
29,30,Genoa,,,,,,,,30
